Visit_ID,Avg_Session_Duration,Pages_Per_Session,Channel,Zone,Order
100100,5,4,Direct,South,1
100101,6,4,Direct,North,1
100102,9,4,Direct,North,1
100103,1.5,1,Direct,South,1
100104,2.25,1,Direct,North,1
100105,3,4,Direct,South,1
100106,6,3,Direct,South,1
100107,4.5,4,Direct,South,1
100108,3,2,Direct,South,1
100109,6,2,Direct,North,1
100110,3.5,2,Direct,North,1
100111,1.5,1,Direct,North,1
100112,3.75,4,Direct,North,1
100113,4.5,3,Direct,South,1
100114,9,2,Direct,North,1
100115,3,1,Direct,South,1
100116,12,1,Direct,North,1
100117,10.5,3,Direct,North,1
100118,2.5,1,Direct,South,1
100119,8.25,4,Direct,North,1
100120,3,3,Direct,South,1
100121,5.25,2,Direct,South,1
100122,6,2,Direct,North,1
100123,3,2,Direct,South,1
100124,2.5,1,Direct,North,1
100125,4.5,3,Direct,North,1
100126,3,2,Direct,North,1
100127,3,2,Direct,North,1
100128,3,2,Direct,North,1
100129,3,2,Direct,North,1
100130,3,2,Direct,South,1
100131,12,2,Direct,North,1
100132,9,3,Direct,North,1
100133,3.75,3,Direct,South,1
100134,4.5,4,Direct,North,1
100135,15,4,Direct,South,1
100136,3,2,Direct,North,1
100137,6.75,2,Direct,South,1
100138,3,3,Direct,North,1
100139,3.75,2,Direct,North,1
100140,3,2,Direct,South,1
100141,1.5,1,Direct,South,1
100142,9,1,Direct,North,1
100143,6.75,2,Direct,South,1
100144,4.5,2,Direct,South,1
100145,5.25,4,Direct,North,1
100146,12,2,Direct,North,1
100147,1.5,1,Direct,North,1
100148,3,3,Direct,North,1
100149,9,2,Direct,South,1
100150,4.5,4,Direct,North,1
100151,1.5,1,Direct,South,1
100152,2.5,1,Direct,North,1
100153,9,1,Direct,North,1
100154,6,4,Direct,South,1
100155,6,4,Direct,North,1
100156,3,4,Direct,South,1
100157,2.25,1,Direct,South,1
100158,3,1,Direct,North,1
100159,6,3,Direct,South,1
100160,1.5,1,Direct,North,1
100161,6,4,Direct,South,1
100162,4.5,1,Direct,North,1
100163,3.75,3,Direct,North,1
100164,2.5,1,Direct,South,1
100165,9,4,Direct,North,1
100166,1.5,1,Direct,North,1
100167,4.5,2,Direct,North,1
100168,2.75,1,Direct,North,1
100169,6,4,Direct,South,1
100170,6,4,Direct,North,1
100171,3.75,3,Direct,North,1
100172,3,1,Direct,North,1
100173,6,2,Direct,South,1
100174,2,1,Direct,North,1
100175,5.25,1,Direct,South,1
100176,7.5,1,Direct,North,1
100177,3,1,Direct,South,1
100178,1.5,1,Direct,North,1
100179,3,2,Direct,North,1
100180,5.25,4,Direct,North,1
100181,9,1,Direct,North,1
100182,9,2,Direct,South,1
100183,5.25,2,Direct,North,1
100184,6,4,Direct,North,1
100185,4.5,4,Direct,North,1
100186,3.75,2,Direct,North,1
100187,2.25,1,Direct,South,1
100188,4,3,Direct,South,1
100189,3,1,Direct,North,1
100190,4.5,4,Direct,North,1
100191,6,3,Direct,South,1
100192,12,4,Direct,North,1
100193,6.75,2,Direct,North,1
100194,1.5,1,Direct,South,1
100195,11.25,4,Direct,North,1
100196,2.25,1,Direct,South,1
100197,1.5,1,Direct,North,1
100198,3,4,Direct,North,1
100199,6,4,Direct,North,1
100200,4.5,3,Direct,North,1
100201,2.25,1,Direct,North,1
100202,3,3,Direct,North,1
100203,6.75,4,Direct,South,1
100204,3,4,Direct,North,1
100205,3,1,Direct,North,1
100206,7.5,4,Direct,South,1
100207,3,4,Direct,North,1
100208,3,3,Direct,North,1
100209,6,2,Direct,South,1
100210,3,2,Direct,South,1
100211,2.25,1,Direct,North,1
100212,9,4,Direct,South,1
100213,6.75,4,Direct,South,1
100214,7.5,4,Direct,North,1
100215,9,2,Direct,North,1
100216,1.5,1,Direct,North,1
100217,4.5,1,Direct,South,1
100218,9,2,Direct,South,1
100219,6,2,Direct,South,1
100220,2.5,1,Direct,South,1
100221,3,1,Direct,North,1
100222,3,4,Direct,North,1
100223,3,2,Direct,North,1
100224,6,4,Direct,North,1
100225,3.75,2,Direct,South,1
100226,9,2,Direct,North,1
100227,12,2,Direct,North,1
100228,3,4,Direct,North,1
100229,2.25,1,Direct,North,1
100230,6,1,Direct,North,1
100231,9,2,Direct,North,1
100232,2.25,1,Direct,South,1
100233,3,1,Direct,South,1
100234,4.5,2,Direct,North,1
100235,1,1,Direct,South,1
100236,6,2,Direct,North,1
100237,1.5,1,Direct,North,1
100238,5.25,2,Direct,North,1
100239,3,2,Direct,North,1
100240,7.5,3,Direct,North,1
100241,6,2,Direct,North,1
100242,1.5,1,Direct,South,1
100243,12,4,Direct,South,1
100244,3,2,Direct,South,1
100245,3,3,Direct,North,1
100246,6,1,Direct,North,1
100247,3,4,Direct,North,1
100248,1.5,1,Direct,North,1
100249,6,2,Direct,South,1
100250,4.5,4,Direct,South,1
100251,1.5,1,Direct,South,1
100252,3,2,Direct,North,1
100253,7.5,2,Direct,North,1
100254,6,3,Direct,South,1
100255,2.25,1,Direct,South,1
100256,15,1,Direct,North,1
100257,6,2,Direct,North,1
100258,3,1,Direct,North,1
100259,3.75,4,Direct,North,1
100260,2.75,1,Direct,North,1
100261,3,2,Direct,South,1
100262,6,4,Direct,North,1
100263,4.5,4,Direct,South,1
100264,3,4,Direct,South,1
100265,2.5,1,Direct,South,1
100266,3.75,3,Direct,North,1
100267,9,4,Direct,North,1
100268,6,3,Direct,North,1
100269,3.5,4,Direct,North,1
100270,6,2,Direct,North,1
100271,4.5,3,Direct,North,1
100272,3,4,Direct,South,1
100273,12,4,Direct,North,1
100274,12,4,Direct,North,1
100275,7.5,1,Direct,North,1
100276,2.25,1,Direct,North,1
100277,4.5,2,Direct,South,1
100278,3,4,Direct,South,1
100279,1.5,1,Direct,North,1
100280,6,4,Direct,North,1
100281,3.75,4,Direct,South,1
100282,3,2,Direct,North,1
100283,4.5,4,Direct,North,1
100284,3.75,4,Direct,North,1
100285,6,2,Direct,North,1
100286,11.75,1,Direct,North,1
100287,12,3,Direct,North,1
100288,12,4,Direct,South,1
100289,3,4,Direct,North,1
100290,6,4,Direct,North,1
100291,3,2,Direct,South,1
100292,9,4,Direct,North,1
100293,6,4,Direct,South,1
100294,10.5,4,Direct,North,1
100295,12,2,Direct,North,1
100296,12,2,Direct,North,1
100297,3,4,Direct,North,1
100298,2.5,1,Direct,North,1
100299,4.5,4,Direct,South,1
100300,5.25,2,Direct,South,1
100301,1.5,1,Direct,North,1
100302,9,1,Direct,North,1
100303,6,2,Direct,North,1
100304,2.5,1,Direct,North,1
100305,12,2,Direct,South,1
100306,1.5,1,Direct,North,1
100307,7.5,4,Direct,South,1
100308,3,3,Direct,North,1
100309,2,1,Direct,South,1
100310,2.25,1,Direct,North,1
100311,12,4,Direct,South,1
100312,6,1,Direct,North,1
100313,6,4,Direct,South,1
100314,3,3,Direct,South,1
100315,1,1,Direct,North,1
100316,9,4,Direct,North,1
100317,3,3,Direct,South,1
100318,6,4,Direct,North,1
100319,3,2,Direct,North,1
100320,3.75,4,Direct,North,1
100321,7.5,2,Direct,North,1
100322,6,3,Direct,North,1
100323,6,1,Direct,South,1
100324,4.5,2,Direct,North,1
100325,4.5,3,Direct,North,1
100326,2,1,Direct,North,1
100327,3,4,Direct,South,1
100328,6,3,Direct,North,1
100329,9,2,Direct,North,1
100330,1.5,1,Direct,North,1
100331,6,4,Direct,South,1
100332,4.5,2,Direct,North,1
100333,15,2,Direct,North,1
100334,12,4,Direct,South,1
100335,6,4,Direct,South,1
100336,1.5,1,Direct,North,1
100337,3.25,4,Direct,South,1
100338,3.75,2,Direct,North,1
100339,6,4,Direct,North,1
100340,2.5,1,Direct,North,1
100341,6,4,Direct,South,1
100342,5.25,4,Direct,North,1
100343,4.5,3,Direct,North,1
100344,4.5,1,Direct,North,1
100345,2.5,1,Direct,North,1
100346,3.75,2,Direct,North,1
100347,3.25,4,Direct,North,1
100348,6,4,Direct,North,1
100349,1.5,1,Direct,North,1
100350,2.25,1,Direct,North,1
100351,2.25,1,Direct,North,1
100352,2.25,1,Direct,North,1
100353,4.5,4,Direct,South,1
100354,3,2,Direct,North,1
100355,2.5,1,Direct,North,1
100356,6,2,Direct,North,1
100357,3,4,Direct,North,1
100358,9,2,Direct,North,1
100359,3,2,Direct,North,1
100360,7.5,4,Direct,North,1
100361,4.5,4,Direct,North,1
100362,3,3,Direct,South,1
100363,3,2,Direct,South,1
100364,1.5,1,Direct,North,1
100365,4.5,1,Direct,North,1
100366,3,4,Direct,South,1
100367,4.5,1,Direct,South,1
100368,4.5,4,Direct,North,1
100369,9,2,Direct,North,1
100370,4.5,4,Direct,South,1
100371,9,4,Direct,North,1
100372,4.5,4,Direct,South,1
100373,2.5,1,Direct,North,1
100374,15,4,Direct,South,1
100375,15,4,Direct,South,1
100376,12,4,Direct,South,1
100377,4.5,3,Direct,South,1
100378,1.75,1,Direct,South,1
100379,9,2,Direct,North,1
100380,1.5,1,Direct,North,1
100381,5,4,Direct,North,1
100382,4.5,4,Direct,South,1
100383,5.5,4,Direct,North,1
100384,3,1,Direct,North,1
100385,7.5,2,Direct,South,1
100386,4.5,1,Direct,South,1
100387,4.5,2,Direct,North,1
100388,4.5,4,Direct,North,1
100389,3.75,4,Direct,South,1
100390,2.25,1,Direct,South,1
100391,4.5,2,Direct,South,1
100392,3,4,Direct,North,1
100393,9,4,Direct,South,1
100394,1.5,1,Direct,North,1
100395,2.25,1,Direct,South,1
100396,9.75,3,Direct,South,1
100397,3,4,Direct,South,1
100398,9,2,Direct,South,1
100399,3,1,Direct,North,1
100400,6,1,Direct,North,1
100401,4.5,4,Direct,South,1
100402,4.5,4,Direct,North,1
100403,6,2,Direct,South,1
100404,3.5,2,Direct,North,1
100405,4.5,4,Direct,North,1
100406,6,1,Direct,North,1
100407,6,4,Direct,North,1
100408,3.75,2,Direct,North,1
100409,6,2,Direct,South,1
100410,3,2,Direct,North,1
100411,6,4,Direct,North,1
100412,8.25,2,Direct,South,1
100413,3,2,Direct,North,1
100414,2.5,1,Direct,South,1
100415,6,2,Direct,North,1
100416,9,2,Direct,South,1
100417,3,1,Direct,North,1
100418,4.5,2,Direct,North,1
100419,5.25,2,Direct,North,1
100420,4.5,2,Direct,North,1
100421,3.75,3,Direct,South,1
100422,3,2,Direct,North,1
100423,3,3,Direct,South,1
100424,5.25,3,Direct,North,1
100425,3,2,Direct,North,1
100426,4.5,3,Direct,North,1
100427,7,2,Direct,North,1
100428,4.5,3,Direct,North,1
100429,2.25,1,Direct,North,1
100430,4.5,4,Direct,South,1
100431,1.25,1,Direct,North,1
100432,6,3,Direct,South,1
100433,1.5,1,Direct,North,1
100434,6,2,Direct,North,1
100435,2.25,1,Direct,South,1
100436,3,1,Direct,South,1
100437,1.5,1,Direct,South,1
100438,6,4,Direct,North,1
100439,10.5,4,Direct,North,1
100440,3,1,Direct,North,1
100441,3,4,Direct,North,1
100442,3,3,Direct,South,1
100443,5,3,Direct,South,1
100444,3,4,Direct,North,1
100445,12,3,Direct,South,1
100446,2.25,1,Direct,North,1
100447,9,4,Direct,North,1
100448,1.75,1,Direct,South,1
100449,3,4,Direct,South,1
100450,3.75,3,Direct,South,1
100451,9,2,Direct,North,1
100452,1.5,1,Direct,South,1
100453,3,4,Direct,South,1
100454,6,4,Direct,North,1
100455,6,3,Direct,South,1
100456,6,1,Direct,North,1
100457,2.75,1,Direct,South,1
100458,3,4,Direct,South,1
100459,1.5,1,Direct,North,1
100460,4.5,2,Direct,South,1
100461,9,2,Direct,North,1
100462,3.75,3,Direct,South,1
100463,3,1,Direct,South,1
100464,3,4,Direct,North,1
100465,4.5,1,Direct,North,1
100466,6,4,Direct,South,1
100467,6,2,Direct,North,1
100468,12,3,Direct,South,1
100469,8.25,2,Direct,South,1
100470,6,3,Direct,South,1
100471,6,2,Direct,South,1
100472,1.5,1,Direct,North,1
100473,2.25,1,Direct,North,1
100474,1.5,1,Direct,North,1
100475,4.5,2,Direct,North,1
100476,4.5,4,Direct,North,1
100477,9.75,4,Direct,North,1
100478,6,2,Direct,North,1
100479,3,4,Direct,South,1
100480,3.75,4,Direct,North,1
100481,3,1,Direct,North,1
100482,6,1,Direct,North,1
100483,7.5,4,Direct,North,1
100484,3.75,2,Direct,South,1
100485,3,4,Direct,North,1
100486,1.5,1,Direct,North,1
100487,3,4,Direct,South,1
100488,6,4,Direct,North,1
100489,2.5,1,Direct,South,1
100490,1.5,1,Direct,South,1
100491,3,2,Paid Search,South,1
100492,6.75,4,Direct,South,1
100493,1.5,1,Paid Search,North,0
100494,1.5,1,Paid Search,North,0
100495,3,2,Paid Search,South,1
100496,6,4,Paid Search,South,1
100497,9,1,Paid Search,North,1
100498,6,3,Paid Search,North,1
100499,4.5,2,Paid Search,North,0
100500,1.5,1,Paid Search,South,1
100501,6,1,Paid Search,North,0
100502,9,4,Paid Search,South,1
100503,2.25,1,Paid Search,South,1
100504,6,4,Paid Search,North,1
100505,6,4,Paid Search,North,1
100506,2.5,1,Paid Search,North,0
100507,3.75,2,Paid Search,South,1
100508,3.75,2,Paid Search,North,0
100509,6,2,Paid Search,North,0
100510,9.75,2,Paid Search,North,1
100511,3,2,Paid Search,North,0
100512,9,2,Paid Search,South,1
100513,3.75,4,Direct,South,1
100514,3,4,Paid Search,North,1
100515,6,1,Paid Search,North,0
100516,1.5,1,Paid Search,North,0
100517,1.5,1,Paid Search,South,1
100518,9,4,Paid Search,South,1
100519,1.5,1,Paid Search,South,1
100520,1.5,1,Paid Search,North,0
100521,6,4,Direct,South,1
100522,4.5,2,Paid Search,South,1
100523,12,4,Paid Search,South,1
100524,6,4,Paid Search,South,1
100525,4.5,4,Paid Search,North,1
100526,6.5,3,Paid Search,South,1
100527,3.75,3,Direct,North,1
100528,1,1,Paid Search,South,1
100529,9,4,Paid Search,North,1
100530,1.5,1,Paid Search,South,1
100531,9,1,Direct,South,1
100532,3.75,4,Paid Search,South,1
100533,3,4,Paid Search,North,1
100534,6,3,Paid Search,North,1
100535,6,2,Paid Search,North,0
100536,5.25,1,Direct,South,1
100537,1.5,1,Paid Search,North,0
100538,4.5,4,Paid Search,South,1
100539,12,4,Paid Search,North,1
100540,4.5,1,Paid Search,North,0
100541,3,1,Paid Search,North,0
100542,6,4,Paid Search,North,1
100543,7.5,4,Paid Search,North,1
100544,4.5,1,Paid Search,South,1
100545,3,4,Paid Search,North,1
100546,6,2,Paid Search,North,0
100547,6,4,Paid Search,North,1
100548,6,1,Paid Search,South,1
100549,3,4,Paid Search,North,1
100550,12,1,Paid Search,South,1
100551,3,4,Direct,North,1
100552,1.5,1,Paid Search,South,1
100553,12,1,Paid Search,North,1
100554,3,1,Paid Search,North,0
100555,2.25,1,Direct,North,1
100556,3,1,Paid Search,South,1
100557,4.5,3,Paid Search,South,1
100558,5.25,4,Paid Search,North,1
100559,6,4,Paid Search,South,1
100560,4.5,2,Paid Search,South,1
100561,6,4,Paid Search,North,1
100562,6,4,Paid Search,North,1
100563,1.5,1,Paid Search,South,1
100564,9,4,Paid Search,North,1
100565,6,2,Direct,North,1
100566,6,2,Paid Search,South,1
100567,3,3,Paid Search,South,1
100568,6,2,Paid Search,South,1
100569,12,1,Paid Search,North,1
100570,12,2,Paid Search,South,1
100571,6,4,Paid Search,North,1
100572,7.5,2,Paid Search,South,1
100573,6,4,Paid Search,South,1
100574,3.75,4,Direct,North,1
100575,2.25,1,Paid Search,North,0
100576,3.75,3,Paid Search,South,1
100577,3,1,Paid Search,South,1
100578,6,2,Direct,South,1
100579,9,4,Paid Search,North,1
100580,6,3,Direct,North,1
100581,4.5,3,Paid Search,South,1
100582,3,3,Paid Search,North,1
100583,2.25,1,Paid Search,North,0
100584,9,1,Direct,North,1
100585,3,4,Paid Search,North,1
100586,4.5,4,Paid Search,North,1
100587,2.25,1,Paid Search,South,1
100588,3,1,Paid Search,North,0
100589,4.5,3,Paid Search,North,1
100590,3,3,Paid Search,South,1
100591,3,3,Paid Search,North,1
100592,6,4,Paid Search,North,1
100593,5.25,4,Direct,North,1
100594,6,4,Paid Search,South,1
100595,6,3,Direct,North,1
100596,1.5,1,Paid Search,North,0
100597,6,4,Paid Search,North,1
100598,6,4,Direct,North,1
100599,4.5,2,Paid Search,South,1
100600,6,2,Direct,North,1
100601,1.75,1,Paid Search,North,0
100602,2.25,1,Paid Search,North,0
100603,6,4,Direct,North,1
100604,9,2,Paid Search,North,1
100605,2.5,1,Paid Search,North,0
100606,6,4,Paid Search,North,1
100607,6,2,Direct,South,1
100608,9,4,Paid Search,North,1
100609,4.5,1,Paid Search,North,0
100610,3.75,4,Paid Search,North,1
100611,3,3,Paid Search,North,1
100612,2.5,1,Paid Search,North,0
100613,5.25,2,Paid Search,North,0
100614,6,4,Paid Search,North,1
100615,4.5,1,Paid Search,North,0
100616,12,2,Direct,South,1
100617,15,2,Paid Search,South,1
100618,1.5,1,Paid Search,North,0
100619,7.5,4,Paid Search,South,1
100620,3,2,Paid Search,North,0
100621,5.25,3,Direct,South,1
100622,4.5,2,Paid Search,South,1
100623,12,2,Direct,North,1
100624,3,1,Paid Search,North,0
100625,4.5,4,Paid Search,North,1
100626,3.75,2,Paid Search,North,0
100627,1.5,1,Paid Search,South,1
100628,2.25,1,Paid Search,South,1
100629,10.5,4,Paid Search,North,1
100630,2.25,1,Direct,North,1
100631,6,4,Paid Search,South,1
100632,4.5,3,Paid Search,North,1
100633,3.75,1,Paid Search,North,0
100634,2.25,1,Paid Search,South,1
100635,6,4,Paid Search,South,1
100636,3,4,Direct,North,1
100637,6,1,Paid Search,North,0
100638,15,4,Paid Search,South,1
100639,3,3,Paid Search,North,1
100640,10.5,2,Paid Search,South,1
100641,4.5,1,Direct,North,1
100642,3.75,4,Direct,North,1
100643,3.75,2,Direct,South,1
100644,6,2,Paid Search,North,0
100645,4.5,1,Paid Search,North,0
100646,9,4,Direct,North,1
100647,7.5,2,Paid Search,South,1
100648,3,2,Paid Search,South,1
100649,6,3,Paid Search,North,1
100650,3,4,Direct,North,1
100651,12,1,Direct,North,1
100652,3,2,Paid Search,North,0
100653,6,1,Paid Search,North,0
100654,9,4,Paid Search,South,1
100655,6,3,Paid Search,North,1
100656,3.5,4,Paid Search,North,1
100657,3,4,Paid Search,North,1
100658,12,3,Paid Search,North,1
100659,7.5,1,Direct,South,1
100660,4.5,1,Paid Search,South,1
100661,3,4,Paid Search,South,1
100662,3,2,Paid Search,North,0
100663,5.25,2,Paid Search,North,0
100664,1.5,1,Paid Search,North,0
100665,1.5,1,Direct,South,1
100666,6,2,Direct,North,1
100667,7.5,2,Paid Search,North,1
100668,12,1,Direct,North,1
100669,3,4,Paid Search,South,1
100670,7.5,4,Paid Search,North,1
100671,6,3,Direct,South,1
100672,9,2,Direct,South,1
100673,15,4,Paid Search,South,1
100674,1.5,1,Paid Search,North,0
100675,5.25,2,Direct,North,1
100676,7.5,4,Paid Search,North,1
100677,6,4,Paid Search,North,1
100678,18,2,Paid Search,South,1
100679,6,4,Paid Search,North,1
100680,4.5,1,Paid Search,South,1
100681,1.5,1,Direct,North,1
100682,3,4,Paid Search,North,1
100683,3.75,3,Paid Search,North,1
100684,6,3,Paid Search,South,1
100685,9,3,Direct,North,1
100686,15,4,Paid Search,North,1
100687,2.5,1,Paid Search,North,0
100688,9,3,Paid Search,North,1
100689,2.25,1,Paid Search,South,1
100690,3,3,Paid Search,North,1
100691,3.75,3,Paid Search,South,1
100692,3.75,2,Direct,South,1
100693,6,1,Paid Search,South,1
100694,1.5,1,Paid Search,North,0
100695,6,2,Paid Search,North,0
100696,1.5,1,Paid Search,South,1
100697,3,3,Paid Search,North,1
100698,3,2,Paid Search,North,0
100699,4.5,2,Paid Search,North,0
100700,3.75,4,Direct,North,1
100701,3,4,Paid Search,North,1
100702,12,4,Paid Search,North,1
100703,6,2,Paid Search,North,0
100704,7.5,2,Direct,North,1
100705,6.75,1,Direct,North,1
100706,3.75,4,Paid Search,North,1
100707,12,2,Paid Search,South,1
100708,3,3,Paid Search,North,1
100709,2.25,1,Paid Search,North,0
100710,2.25,1,Paid Search,South,1
100711,4.5,3,Paid Search,North,1
100712,1.5,1,Direct,North,1
100713,5.25,4,Paid Search,North,1
100714,2.25,1,Paid Search,North,0
100715,15,2,Paid Search,North,1
100716,7.5,4,Paid Search,North,1
100717,7.5,2,Paid Search,South,1
100718,4.5,2,Paid Search,North,0
100719,6,2,Paid Search,South,1
100720,5,4,Paid Search,South,1
100721,2.25,1,Paid Search,North,0
100722,1.5,1,Direct,North,1
100723,3,2,Paid Search,North,0
100724,2.25,1,Paid Search,North,0
100725,6.75,3,Paid Search,South,1
100726,1.5,1,Paid Search,South,1
100727,3.75,2,Paid Search,South,1
100728,4.5,4,Paid Search,North,1
100729,12,3,Direct,North,1
100730,6,4,Direct,South,1
100731,6,2,Paid Search,North,0
100732,6,4,Paid Search,South,1
100733,2,1,Paid Search,North,0
100734,6,4,Paid Search,South,1
100735,1,1,Paid Search,North,0
100736,9,2,Paid Search,South,1
100737,6,4,Paid Search,North,1
100738,4.5,4,Paid Search,South,1
100739,1.5,1,Paid Search,North,0
100740,7.5,4,Direct,North,1
100741,6,3,Paid Search,South,1
100742,2.5,1,Paid Search,North,0
100743,5.25,3,Paid Search,North,1
100744,6,4,Paid Search,North,1
100745,9.75,4,Paid Search,North,1
100746,3.25,1,Direct,South,1
100747,3.75,4,Paid Search,North,1
100748,3,1,Paid Search,South,1
100749,5.25,3,Paid Search,North,1
100750,3.75,2,Paid Search,South,1
100751,1.5,1,Paid Search,South,1
100752,4.5,2,Paid Search,North,0
100753,3,4,Direct,South,1
100754,7.5,2,Paid Search,North,1
100755,3,4,Direct,North,1
100756,6,4,Paid Search,North,1
100757,1.5,1,Paid Search,North,0
100758,3.75,4,Paid Search,South,1
100759,6,2,Paid Search,South,1
100760,3,3,Paid Search,North,1
100761,3.75,4,Paid Search,North,1
100762,4.5,4,Paid Search,North,1
100763,3,3,Paid Search,North,1
100764,5.25,4,Paid Search,North,1
100765,6,3,Paid Search,North,1
100766,3,3,Paid Search,South,1
100767,7.5,4,Paid Search,South,1
100768,2.5,1,Paid Search,North,0
100769,3,4,Paid Search,North,1
100770,3,4,Paid Search,South,1
100771,6,4,Paid Search,South,1
100772,9,2,Direct,South,1
100773,5.25,4,Paid Search,North,1
100774,6,4,Paid Search,North,1
100775,3,4,Paid Search,South,1
100776,6,4,Paid Search,North,1
100777,9,4,Paid Search,North,1
100778,4.5,1,Paid Search,North,0
100779,9,2,Paid Search,North,1
100780,4.5,4,Direct,South,1
100781,9.75,2,Paid Search,South,1
100782,6,4,Paid Search,North,1
100783,3,2,Direct,South,1
100784,3,2,Paid Search,North,0
100785,5,4,Paid Search,North,1
100786,4.5,2,Direct,North,1
100787,5.5,4,Paid Search,South,1
100788,12,3,Paid Search,North,1
100789,12,4,Direct,North,1
100790,10,3,Direct,North,1
100791,5.25,4,Direct,South,1
100792,6,4,Paid Search,South,1
100793,1.5,1,Paid Search,North,0
100794,6,4,Paid Search,South,1
100795,6,3,Paid Search,North,1
100796,2.25,1,Paid Search,South,1
100797,4.5,4,Paid Search,North,1
100798,3,4,Paid Search,South,1
100799,6,4,Paid Search,North,1
100800,2.25,1,Paid Search,North,0
100801,6,4,Direct,North,1
100802,4.5,4,Paid Search,South,1
100803,5,4,Paid Search,North,1
100804,3,4,Paid Search,North,1
100805,3,2,Paid Search,North,0
100806,9,1,Paid Search,South,1
100807,1.5,1,Paid Search,South,1
100808,3,4,Paid Search,North,1
100809,10.5,2,Paid Search,North,1
100810,3.75,1,Paid Search,South,1
100811,2,1,Direct,South,1
100812,1.5,1,Paid Search,South,1
100813,9,4,Paid Search,North,1
100814,12,4,Paid Search,South,1
100815,12,4,Paid Search,North,1
100816,9,2,Paid Search,South,1
100817,1.5,1,Paid Search,North,0
100818,1.5,1,Paid Search,North,0
100819,9,3,Direct,South,1
100820,4.5,3,Paid Search,North,1
100821,3,2,Paid Search,South,1
100822,3,1,Paid Search,South,1
100823,9,2,Paid Search,South,1
100824,2,1,Paid Search,North,0
100825,4.5,2,Paid Search,South,1
100826,5.25,3,Paid Search,North,1
100827,4.5,4,Paid Search,North,1
100828,4.5,2,Direct,South,1
100829,9,4,Paid Search,South,1
100830,12,4,Direct,North,1
100831,6,2,Direct,North,1
100832,4.5,3,Paid Search,North,1
100833,11.25,4,Direct,South,1
100834,6,4,Paid Search,South,1
100835,3.75,3,Paid Search,South,1
100836,3,4,Paid Search,North,1
100837,3,2,Paid Search,North,0
100838,1,1,Paid Search,North,0
